date,close,btc_vol_30d,drawdown,macro_pressure,risk_regime,vix,us10y
2025-11-08,88407.1328125,46.025905328882025,-2.1996092565151493,26.333874952502917,LOW,19.079999923706055,4.0929999351501465
2025-11-09,90719.359375,40.118188288426346,-2.1996092565151493,28.32342070427058,LOW,19.079999923706055,4.0929999351501465
2025-11-10,91712.390625,39.754517222014336,-2.1996092565151493,19.398766089902423,LOW,17.600000381469727,4.110000133514404
2025-11-11,88891.96875,38.01580339154101,-2.1996092565151493,27.570567847384826,LOW,17.280000686645508,4.119999885559082
2025-11-12,87702.796875,38.069612042346236,-2.1996092565151493,21.540211147936773,LOW,17.510000228881836,4.065000057220459
2025-11-13,85723.390625,38.11256787048879,-2.1996092565151493,32.05787671248233,LOW,20.0,4.111999988555908
2025-11-14,81205.8828125,41.17723282679014,-2.1996092565151493,36.059535153525964,LOW,19.829999923706055,4.1479997634887695
2025-11-15,82206.953125,40.75483996998839,-2.1996092565151493,34.12610155648146,LOW,19.829999923706055,4.1479997634887695
2025-11-16,81084.390625,40.784954180616744,-2.1996092565151493,33.00401208419629,LOW,19.829999923706055,4.1479997634887695
2025-11-17,79459.421875,40.974062626427326,-2.1996092565151493,42.8008340368339,LOW,22.3799991607666,4.132999897003174
2025-11-18,80265.0703125,40.79673100937404,-2.1996092565151493,40.54784848116379,LOW,24.690000534057617,4.123000144958496
2025-11-19,79264.0625,39.967047309138195,-2.1996092565151493,35.416515198668044,LOW,23.65999984741211,4.132999897003174
2025-11-20,75112.453125,43.048901927327734,-3.736354937785206,37.59575841713696,LOW,26.420000076293945,4.105999946594238
2025-11-21,73892.75,43.168222579689285,-3.736354937785206,26.5868263201744,LOW,23.43000030517578,4.063000202178955
2025-11-22,73482.6484375,41.93267894514667,-3.736354937785206,28.434160655245254,LOW,23.43000030517578,4.063000202178955
2025-11-23,75434.59375,43.309550276387355,-2.969229467736969,29.65634919035938,LOW,23.43000030517578,4.063000202178955
2025-11-24,76621.40625,43.843388650056355,-2.502805490030568,19.800646682113936,LOW,20.520000457763672,4.038000106811523
2025-11-25,75522.1796875,42.34085290630672,-2.9348077024118617,14.970142412208778,LOW,18.559999465942383,4.001999855041504
2025-11-26,78019.953125,44.75469939206831,-1.953168713836888,16.957713585104784,LOW,17.190000534057617,3.997999906539917
2025-11-27,78692.828125,45.075888684873675,-1.6887250599326706,16.97308302704848,LOW,17.190000534057617,3.997999906539917
2025-11-28,78402.140625,44.77647160171492,-1.8029668799501848,17.608989243450463,LOW,16.350000381469727,4.017000198364258
2025-11-29,78343.921875,44.737422609045616,-1.8258471756599903,20.601420141060984,LOW,16.350000381469727,4.017000198364258
2025-11-30,77918.8984375,44.41819788651431,-1.9928837735532434,24.90358450982307,LOW,16.350000381469727,4.017000198364258
2025-12-01,74372.1640625,46.27716568534105,-1.9928837735532434,36.53675525757518,LOW,17.239999771118164,4.0960001945495605
